"Gemeente";"Jaar";"Totale bevolking";"Bevolkingsdichtheid";"Gemiddelde huishoudensgrootte";"Nieuwbouwwoningen";"Particuliere huishoudens";"Inkomen"
"Berkel en Rodenrijs";"2017";"";"";"";"";"";""
"Berkel-Enschot";"2017";"";"";"";"";"";""
"Berkelland";"2017";"44238";"171";"2,34";"121";"18,6";"41,9"
"Berlicum";"2017";"";"";"";"";"";""
"Bernheze";"2017";"30252";"337";"2,48";"263";"12,0";"48,2"
"Bernisse";"2017";"";"";"";"";"";""
"Best";"2017";"29180";"851";"2,38";"69";"12,1";"48,0"
"Beuningen";"2017";"25424";"582";"2,34";"211";"10,7";"45,2"
"Beverwijk";"2017";"40709";"2223";"2,14";"71";"18,5";"39,2"
"het Bildt";"2017";"10493";"114";"2,25";"8";"4,5";"37,2"
"De Bilt";"2017";"42754";"647";"2,19";"11";"18,8";"51,9"
"Binnenmaas";"2017";"29122";"420";"2,30";"116";"12,4";"47,8"
"Bladel";"2017";"20063";"266";"2,35";"60";"8,4";"45,5"
"Bladel en Netersel";"2017";"";"";"";"";"";""
"Blaricum";"2017";"10201";"915";"2,24";"228";"4,5";"72,6"
"Bleiswijk";"2017";"";"";"";"";"";""
"Bloemendaal";"2017";"22826";"575";"2,31";"136";"9,4";"75,5"
"Boarnsterhim";"2017";"";"";"";"";"";""
"Bodegraven";"2017";"";"";"";"";"";""
"Bodegraven-Reeuwijk";"2017";"33733";"446";"2,44";"173";"13,6";"50,6"
"Boekel";"2017";"10414";"302";"2,54";"51";"4,0";"46,9"
"Ten Boer";"2017";"7288";"161";"2,41";"9";"2,9";"42,2"
"Bolsward";"2017";"";"";"";"";"";""
"Borculo";"2017";"";"";"";"";"";""
"Borger";"2017";"";"";"";"";"";""
"Borger-Odoorn";"2017";"25355";"92";"2,28";"33";"10,9";"40,5"
"Born";"2017";"";"";"";"";"";""
"Borne";"2017";"22795";"877";"2,37";"195";"9,4";"44,0"
"Borsele";"2017";"22688";"160";"2,38";"59";"9,4";"43,7"
"Boskoop";"2017";"";"";"";"";"";""
"Boxmeer";"2017";"28709";"258";"2,30";"146";"12,0";"44,0"
"Boxtel";"2017";"30655";"481";"2,25";"37";"13,2";"42,5"
"Brakel";"2017";"";"";"";"";"";""
"Breda";"2017";"182304";"1447";"2,06";"964";"81,2";"42,7"
"Brederwiede";"2017";"";"";"";"";"";""
"Breukelen";"2017";"";"";"";"";"";""
"Brielle";"2017";"16833";"611";"2,20";"104";"7,5";"46,7"
"Broekhuizen";"2017";"";"";"";"";"";""
"Bronckhorst";"2017";"36410";"128";"2,33";"49";"15,4";"45,5"
"Brouwershaven";"2017";"";"";"";"";"";""
"Bruinisse";"2017";"";"";"";"";"";""
"Brummen";"2017";"20843";"248";"2,28";"44";"9,0";"43,4"
"Brunssum";"2017";"28358";"1648";"2,05";"55";"13,5";"35,5"
"Budel";"2017";"";"";"";"";"";""
"Bunnik";"2017";"15156";"410";"2,33";"30";"6,3";"51,6"
"Bunschoten";"2017";"21020";"690";"2,61";"135";"7,9";"47,8"
"Buren";"2017";"26348";"197";"2,45";"79";"10,6";"48,0"
"Bussum";"2017";"";"";"";"";"";""
"Capelle aan den IJssel";"2017";"66421";"4671";"2,14";"3";"30,1";"40,3"
"Castricum";"2017";"35216";"711";"2,26";"146";"15,3";"49,7"
"Chaam";"2017";"";"";"";"";"";""
"Coevorden";"2017";"35286";"119";"2,26";"156";"15,2";"40,8"
"Cothen";"2017";"";"";"";"";"";""
"Cranendonck";"2017";"20676";"271";"2,31";"27";"8,7";"44,2"
"Cromstrijen";"2017";"12797";"235";"2,31";"9";"5,4";"48,5"
"Cuijk";"2017";"24696";"483";"2,31";"217";"10,5";"41,9"
"Culemborg";"2017";"27864";"951";"2,31";"202";"11,8";"43,9"
"Dalen";"2017";"";"";"";"";"";""
"Dalfsen";"2017";"28070";"170";"2,48";"74";"11,1";"46,0"
"Dantumadeel";"2017";"";"";"";"";"";""
"Dantumadiel";"2017";"18942";"223";"2,41";"63";"7,7";"38,8"
"Delft";"2017";"101381";"4437";"1,76";"765";"43,7";"38,2"
"Delfzijl";"2017";"24965";"188";"2,11";"19";"11,4";"35,9"
"Denekamp";"2017";"";"";"";"";"";""
"Deurne";"2017";"31933";"273";"2,34";"137";"13,3";"43,5"
"Deventer";"2017";"99295";"757";"2,15";"118";"43,8";"39,1"
"Didam";"2017";"";"";"";"";"";""
"Diemen";"2017";"27272";"2274";"1,98";"338";"11,7";"41,5"
"Diepenheim";"2017";"";"";"";"";"";""
"Diepenveen";"2017";"";"";"";"";"";""
"Diessen";"2017";"";"";"";"";"";""
"Diever";"2017";"";"";"";"";"";""
"Dinkelland";"2017";"26244";"149";"2,55";"107";"10,0";"47,4"
"Dinteloord en Prinsenland";"2017";"";"";"";"";"";""
"Dinxperlo";"2017";"";"";"";"";"";""
"Dirksland";"2017";"";"";"";"";"";""
"Dodewaard";"2017";"";"";"";"";"";""
"Doesburg";"2017";"11341";"982";"2,16";"37";"5,2";"37,9"
"Doetinchem";"2017";"57068";"722";"2,22";"144";"24,9";"40,1"
"Domburg";"2017";"";"";"";"";"";""
"Dongen";"2017";"25509";"871";"2,32";"210";"10,8";"43,7"
"Dongeradeel";"2017";"23901";"144";"2,29";"42";"10,2";"37,1"
"Doorn";"2017";"";"";"";"";"";""
"Dordrecht";"2017";"118731";"1510";"2,13";"225";"53,9";"39,2"
"Drechterland";"2017";"19384";"329";"2,40";"40";"8,0";"46,1"
"Driebergen-Rijsenburg";"2017";"";"";"";"";"";""
"Drimmelen";"2017";"26869";"281";"2,34";"72";"11,3";"46,0"
"Dronten";"2017";"40746";"122";"2,33";"113";"16,3";"42,6"
"Drunen";"2017";"";"";"";"";"";""
"Druten";"2017";"18563";"492";"2,38";"161";"7,6";"44,0"
"Duiveland";"2017";"";"";"";"";"";""
"Duiven";"2017";"25398";"749";"2,38";"42";"10,6";"43,9"
"Den Dungen";"2017";"";"";"";"";"";""
"Dussen";"2017";"";"";"";"";"";""
"Dwingeloo";"2017";"";"";"";"";"";""
"Echt";"2017";"";"";"";"";"";""
"Echteld";"2017";"";"";"";"";"";""
"Echt-Susteren";"2017";"31815";"309";"2,18";"29";"14,1";"41,6"
"Edam-Volendam";"2017";"35800";"659";"2,43";"106";"14,5";"49,7"
"Ede";"2017";"113421";"356";"2,34";"558";"45,9";"44,1"
"Eelde";"2017";"";"";"";"";"";""
"Eemnes";"2017";"8999";"290";"2,36";"121";"3,8";"49,3"
"Eemsmond";"2017";"15656";"83";"2,17";"4";"7,1";"35,8"
"Eersel";"2017";"18554";"225";"2,35";"43";"7,7";"51,6"
"Egmond";"2017";"";"";"";"";"";""
"Eibergen";"2017";"";"";"";"";"";""
"Eijsden";"2017";"";"";"";"";"";""
"Eijsden-Margraten";"2017";"25297";"327";"2,31";"193";"10,7";"47,2"
"Eindhoven";"2017";"226868";"2587";"1,93";"995";"106,4";"39,1"
"Elburg";"2017";"23026";"361";"2,51";"94";"9,0";"42,6"
"Elst";"2017";"";"";"";"";"";""
"Emmen";"2017";"107490";"321";"2,19";"80";"47,7";"37,2"
"Enkhuizen";"2017";"18479";"1457";"2,15";"29";"8,4";"40,1"
"Enschede";"2017";"158140";"1122";"2,01";"480";"69,1";"35,5"
"Epe";"2017";"32537";"208";"2,30";"55";"13,9";"43,2"
"Ermelo";"2017";"26590";"311";"2,31";"75";"10,9";"45,5"
"Esch";"2017";"";"";"";"";"";""
"Etten-Leur";"2017";"43027";"778";"2,32";"181";"18,2";"43,0"
"Ferwerderadeel";"2017";"";"";"";"";"";""
"Ferwerderadiel";"2017";"8735";"89";"2,36";"1";"3,6";"39,4"
"Fijnaart en Heijningen";"2017";"";"";"";"";"";""
"Franekeradeel";"2017";"20215";"197";"2,20";"47";"8,9";"37,3"
"De Friese Meren";"2017";"";"";"";"";"";""
"De Fryske Marren";"2017";"51585";"147";"2,31";"132";"21,8";"41,7"
"Gaasterlân-Sleat";"2017";"";"";"";"";"";""
"Gasselte";"2017";"";"";"";"";"";""
"Geertruidenberg";"2017";"21504";"807";"2,28";"6";"9,2";"43,2"
"Geldermalsen";"2017";"26587";"266";"2,49";"126";"10,5";"48,7"
"Geldrop";"2017";"";"";"";"";"";""
"Geldrop-Mierlo";"2017";"39078";"1260";"2,24";"75";"17,2";"43,1"
"Geleen";"2017";"";"";"";"";"";""
"Gemert";"2017";"";"";"";"";"";""
"Gemert-Bakel";"2017";"30024";"246";"2,37";"89";"12,5";"43,4"
"Gendringen";"2017";"";"";"";"";"";""
"Gendt";"2017";"";"";"";"";"";""
"Genemuiden";"2017";"";"";"";"";"";""
"Gennep";"2017";"17129";"359";"2,28";"31";"7,1";"41,5"
"Giessenlanden";"2017";"14596";"230";"2,51";"19";"5,8";"51,1"
"Gieten";"2017";"";"";"";"";"";""
"Gilze en Rijen";"2017";"26220";"400";"2,33";"53";"10,9";"43,1"
"Goedereede";"2017";"";"";"";"";"";""
"Goeree-Overflakkee";"2017";"48653";"186";"2,34";"349";"20,3";"44,5"
"Goes";"2017";"37274";"403";"2,11";"117";"17,0";"40,4"
"Goirle";"2017";"23317";"554";"2,32";"179";"9,9";"45,6"
"Gooise Meren";"2017";"56935";"1368";"2,21";"68";"25,1";"55,5"
"Goor";"2017";"";"";"";"";"";""
"Gorinchem";"2017";"35755";"1894";"2,21";"71";"15,8";"41,0"
"Gorssel";"2017";"";"";"";"";"";""
"Gouda";"2017";"71752";"4266";"2,18";"507";"31,8";"41,0"
"Graafstroom";"2017";"";"";"";"";"";""
"Graft-De Rijp";"2017";"";"";"";"";"";""
"Gramsbergen";"2017";"";"";"";"";"";""
"Grave";"2017";"12370";"455";"2,27";"106";"5,2";"42,7"
"'s-Graveland";"2017";"";"";"";"";"";""
"'s-Gravendeel";"2017";"";"";"";"";"";""
"'s-Gravenhage (gemeente)";"2017";"524882";"6347";"2,01";"2385";"240,7";"39,0"
"'s-Gravenmoer";"2017";"";"";"";"";"";""
"'s-Gravenzande";"2017";"";"";"";"";"";""
"Groenlo";"2017";"";"";"";"";"";""
"Groesbeek";"2017";"";"";"";"";"";""
"Groningen (gemeente)";"2017";"202636";"2125";"1,64";"978";"92,7";"33,5"
"Grootegast";"2017";"12166";"140";"2,50";"35";"4,8";"40,9"
"Grubbenvorst";"2017";"";"";"";"";"";""
"Gulpen";"2017";"";"";"";"";"";""
"Gulpen-Wittem";"2017";"14337";"196";"2,17";"27";"6,5";"41,8"
"Haaksbergen";"2017";"24272";"232";"2,38";"93";"10,0";"43,4"
"Haaren";"2017";"13912";"241";"2,38";"281";"5,7";"52,2"
"Haarlem";"2017";"159229";"5459";"2,04";"679";"74,7";"42,0"
"Haarlemmerliede en Spaarnwoude";"2017";"5665";"295";"2,34";"47";"2,4";"."
"Haarlemmermeer";"2017";"146003";"819";"2,37";"496";"60,1";"48,3"
"Haelen";"2017";"";"";"";"";"";""
"Halderberge";"2017";"29579";"397";"2,29";"34";"12,6";"43,0"
"Halsteren";"2017";"";"";"";"";"";""
"Den Ham";"2017";"";"";"";"";"";""
"Hardenberg";"2017";"60211";"193";"2,50";"216";"23,6";"42,0"
"Harderwijk";"2017";"46352";"1193";"2,33";"75";"19,5";"41,9"
"Hardinxveld-Giessendam";"2017";"17872";"1056";"2,55";"47";"6,9";"44,7"
"Haren";"2017";"19570";"431";"2,18";"183";"8,6";"50,3"
"Harenkarspel";"2017";"";"";"";"";"";""
"Harlingen";"2017";"15860";"635";"2,10";"38";"7,2";"36,0"
"Harmelen";"2017";"";"";"";"";"";""
"Hasselt";"2017";"";"";"";"";"";""
"Hattem";"2017";"12040";"522";"2,39";"17";"5,0";"46,5"
"Havelte";"2017";"";"";"";"";"";""
"Hedel";"2017";"";"";"";"";"";""
"Heel";"2017";"";"";"";"";"";""
"Heemskerk";"2017";"39171";"1439";"2,23";"12";"17,2";"42,8"
"Heemstede";"2017";"26936";"2934";"2,21";"46";"11,8";"59,1"
"Heerde";"2017";"18561";"236";"2,41";"16";"7,5";"44,7"
"Heerenveen";"2017";"50203";"264";"2,20";"171";"22,2";"39,8"
"Heerewaarden";"2017";"";"";"";"";"";""
"Heerhugowaard";"2017";"54950";"1435";"2,36";"411";"22,6";"42,9"
"Heerjansdam";"2017";"";"";"";"";"";""
"Heerlen";"2017";"87189";"1939";"1,90";"108";"44,2";"33,0"
"Heesch";"2017";"";"";"";"";"";""
"Heeze";"2017";"";"";"";"";"";""
"Heeze-Leende";"2017";"15714";"151";"2,35";"119";"6,5";"49,7"
"Heiloo";"2017";"22857";"1222";"2,20";"149";"10,2";"48,2"
"Heino";"2017";"";"";"";"";"";""
"Helden";"2017";"";"";"";"";"";""
"Den Helder";"2017";"56020";"1242";"2,04";"52";"26,4";"36,2"
"Hellendoorn";"2017";"35772";"259";"2,43";"58";"14,4";"43,2"
"Hellevoetsluis";"2017";"38722";"1230";"2,21";"11";"17,2";"43,3"
"Helmond";"2017";"90602";"1703";"2,27";"256";"39,4";"39,4"
"Helvoirt";"2017";"";"";"";"";"";""
"Hendrik-Ido-Ambacht";"2017";"29731";"2801";"2,52";"298";"11,6";"47,9"
"Hengelo (Gld.)";"2017";"";"";"";"";"";""
"Hengelo (O.)";"2017";"80802";"1327";"2,15";"144";"36,4";"38,3"
"'s-Hertogenbosch";"2017";"152411";"1379";"2,11";"774";"69,3";"42,3"
"Heteren";"2017";"";"";"";"";"";""
"Heumen";"2017";"16475";"414";"2,32";"58";"6,9";"48,4"
"Heusden";"2017";"43516";"552";"2,36";"179";"18,2";"45,3"
"Heythuysen";"2017";"";"";"";"";"";""
"Hillegom";"2017";"21316";"1656";"2,22";"257";"9,4";"43,8"
"Hilvarenbeek";"2017";"15283";"161";"2,39";"47";"6,3";"48,4"
"Hilversum";"2017";"88888";"1949";"2,08";"155";"41,0";"44,6"
"Hoeksche Waard";"2017";"";"";"";"";"";""
"Hoevelaken";"2017";"";"";"";"";"";""
"Hoeven";"2017";"";"";"";"";"";""
"Hof van Twente";"2017";"35011";"165";"2,36";"76";"14,6";"45,5"
"Het Hogeland";"2017";"";"";"";"";"";""
"Hollands Kroon";"2017";"47600";"133";"2,34";"82";"20,1";"42,9"
"Holten";"2017";"";"";"";"";"";""
"Hontenisse";"2017";"";"";"";"";"";""
"Hooge en Lage Mierde";"2017";"";"";"";"";"";""
"Hooge en Lage Zwaluwe";"2017";"";"";"";"";"";""
"Hoogeloon, Hapert en Casteren";"2017";"";"";"";"";"";""
"Hoogeveen";"2017";"55311";"434";"2,27";"181";"23,6";"37,9"
"Hoogezand-Sappemeer";"2017";"34232";"515";"2,13";"63";"15,5";"35,0"
"Hoorn";"2017";"72493";"3560";"2,19";"145";"32,4";"40,7"
"Horst";"2017";"";"";"";"";"";""
"Horst aan de Maas";"2017";"42139";"223";"2,36";"141";"17,6";"44,2"
"Houten";"2017";"49300";"895";"2,49";"174";"19,5";"51,4"
"Huijbergen";"2017";"";"";"";"";"";""
"Huissen";"2017";"";"";"";"";"";""
"Huizen";"2017";"41382";"2618";"2,23";"14";"18,2";"46,9"
"Hulst";"2017";"27395";"136";"2,16";"70";"12,3";"41,2"
"Hummelo en Keppel";"2017";"";"";"";"";"";""
"Hunsel";"2017";"";"";"";"";"";""
"IJsselham";"2017";"";"";"";"";"";""
"IJsselmuiden";"2017";"";"";"";"";"";""
"IJsselstein";"2017";"34208";"1621";"2,38";"23";"14,1";"48,4"
"Jacobswoude";"2017";"";"";"";"";"";""
"Kaag en Braassem";"2017";"26374";"417";"2,36";"79";"11,0";"48,4"
"Kampen";"2017";"52511";"369";"2,43";"291";"21,1";"40,4"
"Kapelle";"2017";"12622";"340";"2,43";"40";"5,1";"45,2"
"Katwijk";"2017";"64532";"2622";"2,46";"245";"25,5";"44,6"
"Kerkrade";"2017";"45937";"2097";"1,98";"119";"22,4";"33,6"
"Kerkwijk";"2017";"";"";"";"";"";""
"Kessel";"2017";"";"";"";"";"";""
"Kesteren";"2017";"";"";"";"";"";""
"Klundert";"2017";"";"";"";"";"";""
"Koggenland";"2017";"22522";"280";"2,43";"61";"9,1";"46,7"
"Kollumerland en Nieuwkruisland";"2017";"12872";"117";"2,38";"39";"5,3";"38,7"
"Korendijk";"2017";"10959";"144";"2,43";"14";"4,4";"47,6"
"Krimpen aan den IJssel";"2017";"29123";"3792";"2,35";"110";"12,1";"44,5"
"Krimpenerwaard";"2017";"55204";"369";"2,36";"147";"22,9";"45,8"
"Laarbeek";"2017";"21942";"396";"2,37";"93";"9,1";"44,8"
"Landerd";"2017";"15332";"218";"2,48";"39";"6,0";"48,6"
"Landgraaf";"2017";"37458";"1524";"2,09";"84";"17,4";"37,5"
"Landsmeer";"2017";"11275";"501";"2,33";"93";"4,8";"51,4"
"Langbroek";"2017";"";"";"";"";"";""
"Langedijk";"2017";"27608";"1155";"2,42";"151";"11,3";"46,9"
"Lansingerland";"2017";"60105";"1109";"2,60";"311";"22,7";"54,3"
"Laren (NH.)";"2017";"11088";"893";"2,16";"31";"4,9";"79,0"
"Leek";"2017";"19643";"311";"2,30";"25";"8,3";"41,2"
"Leende";"2017";"";"";"";"";"";""
"Leerdam";"2017";"20905";"619";"2,39";"105";"8,5";"41,4"
"Leersum";"2017";"";"";"";"";"";""
"Leeuwarden";"2017";"108667";"704";"1,91";"490";"50,5";"35,1"
"Leeuwarderadeel";"2017";"10108";"247";"2,34";"14";"4,2";"41,8"
"Leiden";"2017";"123661";"5630";"1,81";"538";"55,4";"40,0"
"Leiderdorp";"2017";"27128";"2349";"2,21";"48";"12,0";"45,8"
"Leidschendam";"2017";"";"";"";"";"";""
"Leidschendam-Voorburg";"2017";"74604";"2286";"2,05";"28";"35,3";"45,0"
"Lelystad";"2017";"76937";"334";"2,28";"146";"32,8";"39,3"
"Lemsterland";"2017";"";"";"";"";"";""
"Leudal";"2017";"35878";"220";"2,28";"54";"15,2";"44,1"
"Leusden";"2017";"29677";"506";"2,32";"135";"12,6";"49,1"
"Lichtenvoorde";"2017";"";"";"";"";"";""
"Liemeer";"2017";"";"";"";"";"";""
"Liempde";"2017";"";"";"";"";"";""
"Lienden";"2017";"";"";"";"";"";""
"De Lier";"2017";"";"";"";"";"";""
"Lieshout";"2017";"";"";"";"";"";""
"Liesveld";"2017";"";"";"";"";"";""
"Limmen";"2017";"";"";"";"";"";""
"Lingewaal";"2017";"11158";"221";"2,46";"57";"4,5";"46,9"
"Lingewaard";"2017";"46182";"742";"2,36";"75";"19,2";"44,1"
"Lisse";"2017";"22717";"1448";"2,24";"37";"10,0";"44,5"
"Lith";"2017";"";"";"";"";"";""
"Littenseradiel";"2017";"10746";"82";"2,40";"21";"4,4";"43,8"
"Lochem";"2017";"33545";"157";"2,25";"149";"14,5";"46,9"
"Loenen";"2017";"";"";"";"";"";""
"Loon op Zand";"2017";"23093";"462";"2,31";"64";"9,8";"44,0"
"Loosdrecht";"2017";"";"";"";"";"";""
"Lopik";"2017";"14208";"188";"2,58";"54";"5,4";"49,3"
"Loppersum";"2017";"9914";"89";"2,25";"79";"4,3";"39,4"
"Losser";"2017";"22482";"228";"2,37";"120";"9,2";"41,7"
"Luyksgestel";"2017";"";"";"";"";"";""
"Maarheeze";"2017";"";"";"";"";"";""
"Maarn";"2017";"";"";"";"";"";""
"Maarssen";"2017";"";"";"";"";"";""
"Maartensdijk";"2017";"";"";"";"";"";""
"Maasbracht";"2017";"";"";"";"";"";""
"Maasbree";"2017";"";"";"";"";"";""
"Maasdonk";"2017";"";"";"";"";"";""
"Maasdriel";"2017";"24250";"367";"2,43";"103";"9,8";"46,4"
"Maasgouw";"2017";"23774";"520";"2,20";"33";"10,4";"43,4"
"Maasland";"2017";"";"";"";"";"";""
"Maassluis";"2017";"32450";"3821";"2,19";"124";"14,6";"40,6"
"Maastricht";"2017";"122753";"2179";"1,75";"175";"54,3";"36,1"
"Made";"2017";"";"";"";"";"";""
"Made en Drimmelen";"2017";"";"";"";"";"";""
"Margraten";"2017";"";"";"";"";"";""
"Mariekerke";"2017";"";"";"";"";"";""
"Markelo";"2017";"";"";"";"";"";""
"De Marne";"2017";"10088";"59";"2,14";"4";"4,6";"36,8"
"Marum";"2017";"10388";"161";"2,42";"37";"4,2";"42,9"
"Maurik";"2017";"";"";"";"";"";""
"Medemblik";"2017";"44058";"363";"2,36";"208";"18,3";"43,6"
"Meerlo-Wanssum";"2017";"";"";"";"";"";""
"Meerssen";"2017";"19072";"708";"2,22";"6";"8,4";"45,7"
"Meierijstad";"2017";"79869";"434";"2,35";"312";"33,4";"46,4"
"Meijel";"2017";"";"";"";"";"";""
"Menaldumadeel";"2017";"";"";"";"";"";""
"Menameradiel";"2017";"13454";"195";"2,34";"22";"5,7";"41,4"
"Menterwolde";"2017";"12162";"152";"2,24";"3";"5,3";"38,0"
"Meppel";"2017";"33025";"594";"2,20";"215";"14,6";"39,6"
"Middelburg (Z.)";"2017";"48019";"991";"2,08";"162";"21,8";"39,8"
"Middelharnis";"2017";"";"";"";"";"";""
"Midden-Delfland";"2017";"19034";"402";"2,48";"134";"7,5";"54,1"
"Midden-Drenthe";"2017";"33399";"98";"2,29";"145";"14,1";"42,0"
"Midden-Groningen";"2017";"";"";"";"";"";""
"Middenschouwen";"2017";"";"";"";"";"";""
"Middenveld";"2017";"";"";"";"";"";""
"Mierlo";"2017";"";"";"";"";"";""
"Mill en Sint Hubert";"2017";"10807";"207";"2,40";"43";"4,4";"44,6"
"Millingen aan de Rijn";"2017";"";"";"";"";"";""
"Moerdijk";"2017";"36944";"232";"2,30";"62";"15,8";"43,6"
"Moergestel";"2017";"";"";"";"";"";""
"Molenlanden";"2017";"";"";"";"";"";""
"Molenwaard";"2017";"29212";"247";"2,69";"73";"10,7";"49,1"
"Monster";"2017";"";"";"";"";"";""
"Montferland";"2017";"35316";"334";"2,31";"128";"15,1";"41,4"
"Montfoort";"2017";"13866";"368";"2,49";"64";"5,5";"49,9"
"Mook en Middelaar";"2017";"7775";"447";"2,23";"56";"3,4";"49,7"
"Moordrecht";"2017";"";"";"";"";"";""
"Muiden";"2017";"";"";"";"";"";""
"Naaldwijk";"2017";"";"";"";"";"";""
"Naarden";"2017";"";"";"";"";"";""
"Neder-Betuwe";"2017";"23303";"388";"2,70";"114";"8,5";"45,4"
"Nederhorst den Berg";"2017";"";"";"";"";"";""
"Nederlek";"2017";"";"";"";"";"";""
"Nederweert";"2017";"16864";"169";"2,34";"92";"7,1";"43,7"
"Neede";"2017";"";"";"";"";"";""
"Neerijnen";"2017";"12344";"187";"2,58";"40";"4,7";"49,5"
"Niedorp";"2017";"";"";"";"";"";""
"Nieuwegein";"2017";"61868";"2625";"2,17";"292";"27,9";"41,2"
"Nieuwerkerk aan den IJssel";"2017";"";"";"";"";"";""
"Nieuw-Ginneken";"2017";"";"";"";"";"";""
"Nieuwkoop";"2017";"27914";"357";"2,42";"177";"11,2";"49,6"
"Nieuw-Lekkerland";"2017";"";"";"";"";"";""
"Nieuwleusen";"2017";"";"";"";"";"";""
"Nieuw-Vossemeer";"2017";"";"";"";"";"";""
"Nijefurd";"2017";"";"";"";"";"";""
"Nijeveen";"2017";"";"";"";"";"";""
"Nijkerk";"2017";"41775";"602";"2,47";"326";"16,7";"47,1"
"Nijmegen";"2017";"173556";"3238";"1,80";"1367";"79,4";"36,5"
"Nissewaard";"2017";"85401";"1026";"2,19";"192";"38,4";"40,9"
"Noardeast-Fryslân";"2017";"";"";"";"";"";""
